client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel
CLI00001,56,22,client_actif,4,web,BFC,2521.0
CLI00002,69,9,prospect,3,app_mobile,PACA,1950.0
CLI00003,46,9,prospect,3,agence,BFC,2971.0
CLI00004,32,3,résilié,1,app_mobile,NAQ,3420.0
CLI00005,60,7,client_actif,1,web,IDF,3499.0
CLI00006,25,21,client_inactif,1,web,NAQ,2975.0
CLI00007,78,19,résilié,3,web,NAQ,4663.0
CLI00008,38,19,client_actif,1,email,IDF,3942.0
CLI00009,56,17,client_actif,3,agence,ARA,1699.0
CLI00010,75,13,client_actif,1,app_mobile,ARA,1479.0
CLI00011,36,17,résilié,3,web,OCC,1783.0
CLI00012,40,13,résilié,1,telephone,ARA,3852.0
CLI00013,28,19,client_actif,1,web,PACA,1262.0
CLI00014,28,20,client_inactif,1,web,BFC,3212.0
CLI00015,41,23,prospect,2,app_mobile,NAQ,2647.0
CLI00016,70,14,résilié,1,telephone,OCC,1680.0
CLI00017,53,21,résilié,3,web,NAQ,3024.0
CLI00018,57,3,client_actif,1,web,IDF,2641.0
CLI00019,41,12,client_actif,2,app_mobile,ARA,3526.0
CLI00020,20,22,prospect,3,web,IDF,1336.0
CLI00021,39,7,client_actif,1,app_mobile,OCC,1996.0
CLI00022,70,17,client_inactif,4,app_mobile,BFC,2014.0
CLI00023,19,11,client_actif,5,app_mobile,PACA,3395.0
CLI00024,41,22,prospect,1,web,ARA,2586.0
CLI00025,61,13,client_actif,1,web,IDF,3863.0
CLI00026,47,1,résilié,2,telephone,BFC,2441.0
CLI00027,55,17,client_actif,3,telephone,ARA,2999.0
CLI00028,19,23,client_actif,2,web,NAQ,4136.0
CLI00029,77,1,client_actif,2,web,PACA,1204.0
CLI00030,38,10,résilié,3,web,BFC,2826.0
CLI00031,50,8,client_inactif,1,agence,ARA,2772.0
CLI00032,29,11,client_actif,3,agence,PACA,2091.0
CLI00033,75,16,prospect,3,app_mobile,BFC,2653.0
CLI00034,39,14,prospect,2,agence,NAQ,3081.0
CLI00035,78,24,prospect,4,agence,NAQ,2128.0
CLI00036,61,16,client_actif,3,telephone,IDF,2850.0
CLI00037,42,17,résilié,1,web,OCC,1882.0
CLI00038,66,21,client_actif,2,web,IDF,2616.0
CLI00039,44,5,client_inactif,2,web,PACA,3636.0
CLI00040,76,16,client_actif,1,telephone,IDF,3678.0
CLI00041,59,22,client_inactif,5,agence,BFC,3855.0
CLI00042,45,23,client_inactif,1,app_mobile,ARA,2709.0
CLI00043,77,17,client_actif,3,web,BFC,2506.0
CLI00044,33,7,client_actif,2,web,IDF,3464.0
CLI00045,32,8,client_actif,1,web,OCC,3850.0
CLI00046,79,5,prospect,4,app_mobile,BFC,2875.0
CLI00047,79,4,client_actif,4,web,BFC,4161.0
CLI00048,64,11,client_actif,2,web,BFC,3440.0
CLI00049,79,24,résilié,1,agence,OCC,2286.0
CLI00050,68,10,client_actif,1,web,BFC,2395.0
CLI00051,61,24,client_inactif,2,app_mobile,PACA,2764.0
CLI00052,72,0,client_actif,1,web,NAQ,1387.0
CLI00053,69,10,client_inactif,2,telephone,OCC,2302.0
CLI00054,74,18,client_actif,5,app_mobile,PACA,3827.0
CLI00055,20,8,client_inactif,2,telephone,OCC,4011.0
CLI00056,54,1,client_actif,4,app_mobile,OCC,3057.0
CLI00057,68,11,client_actif,3,telephone,NAQ,3209.0
CLI00058,24,3,client_actif,2,telephone,ARA,2521.0
CLI00059,38,3,client_actif,4,app_mobile,PACA,2224.0
CLI00060,26,17,prospect,2,telephone,OCC,3313.0
CLI00061,56,14,prospect,4,web,OCC,2404.0
CLI00062,35,18,prospect,1,app_mobile,IDF,4321.0
CLI00063,21,12,client_inactif,1,web,BFC,3168.0
CLI00064,42,18,client_actif,4,app_mobile,ARA,3201.0
CLI00065,77,16,client_actif,2,agence,NAQ,1846.0
CLI00066,31,5,client_inactif,4,agence,PACA,1200.0
CLI00067,67,15,client_actif,4,web,OCC,3201.0
CLI00068,75,23,client_actif,1,app_mobile,BFC,2353.0
CLI00069,26,11,client_actif,2,web,PACA,3686.0
CLI00070,43,18,résilié,2,agence,NAQ,1979.0
CLI00071,70,4,client_inactif,2,web,ARA,2322.0
CLI00072,19,16,client_inactif,3,telephone,IDF,3808.0
CLI00073,37,22,client_actif,1,web,ARA,3193.0
CLI00074,45,0,client_inactif,2,web,IDF,1899.0
CLI00075,64,24,prospect,3,telephone,PACA,2831.0
CLI00076,77,23,prospect,1,app_mobile,ARA,4513.0
CLI00077,24,22,prospect,3,web,ARA,2929.0
CLI00078,61,9,client_actif,2,app_mobile,ARA,2667.0
CLI00079,78,14,client_actif,4,web,NAQ,3606.0
CLI00080,25,22,client_actif,1,email,PACA,3117.0
CLI00081,64,20,prospect,1,app_mobile,IDF,4099.0
CLI00082,52,20,client_actif,2,web,ARA,3480.0
CLI00083,31,10,client_inactif,1,app_mobile,PACA,3616.0
CLI00084,34,12,client_actif,5,web,BFC,4143.0
CLI00085,53,4,client_inactif,1,agence,NAQ,2531.0
CLI00086,67,0,client_actif,3,telephone,NAQ,2261.0
CLI00087,57,23,client_inactif,2,telephone,BFC,1589.0
CLI00088,21,11,client_actif,2,web,PACA,2610.0
CLI00089,19,10,client_actif,1,web,IDF,1622.0
CLI00090,79,16,client_actif,2,web,PACA,3129.0
CLI00091,23,3,client_actif,2,agence,PACA,2248.0
CLI00092,71,14,client_inactif,1,app_mobile,OCC,3666.0
CLI00093,59,24,client_actif,4,app_mobile,NAQ,3501.0
CLI00094,21,8,client_actif,1,telephone,IDF,2449.0
CLI00095,71,20,client_inactif,2,web,OCC,3679.0
CLI00096,46,19,client_actif,2,web,BFC,2934.0
CLI00097,35,18,client_actif,1,web,PACA,1206.0
CLI00098,43,18,client_actif,4,web,BFC,1910.0
