contrat_id,client_id,produit,date_souscription,prime_annuelle,statut_contrat,nb_sinistres
CTR000001,CLI00001,auto,2023-11-15,694.93,actif,1
CTR000002,CLI00001,sante,2016-03-11,1369.2,actif,0
CTR000003,CLI00001,epargne,2003-10-01,2180.73,actif,1
CTR000004,CLI00001,prevoyance,2007-01-31,415.28,actif,0
CTR000005,CLI00002,auto,2019-02-26,591.63,en_renouvellement,2
CTR000006,CLI00002,epargne,2023-08-31,1911.61,actif,1
CTR000007,CLI00002,prevoyance,2018-06-14,472.16,actif,2
CTR000008,CLI00003,prevoyance,2024-06-09,491.66,actif,0
CTR000009,CLI00003,epargne,2021-11-01,1752.52,actif,2
CTR000010,CLI00003,habitation,2018-06-13,229.51,en_renouvellement,0
CTR000011,CLI00004,auto,2024-05-04,720.7,résilié,0
CTR000012,CLI00005,habitation,2023-06-13,273.07,actif,0
CTR000013,CLI00006,auto,2017-12-05,690.03,actif,0
CTR000014,CLI00007,sante,2019-09-01,1390.15,résilié,0
CTR000015,CLI00007,epargne,2019-07-24,1823.77,résilié,1
CTR000016,CLI00007,habitation,2017-10-08,247.71,résilié,0
CTR000017,CLI00008,sante,2014-10-20,1097.75,actif,2
CTR000018,CLI00009,habitation,2009-02-05,252.18,actif,1
CTR000019,CLI00009,auto,2022-01-01,754.15,actif,0
CTR000020,CLI00009,prevoyance,2008-08-30,372.16,actif,0
CTR000021,CLI00010,auto,2018-11-20,520.96,actif,0
CTR000022,CLI00011,habitation,2016-12-11,279.95,résilié,0
CTR000023,CLI00011,epargne,2009-10-31,1723.53,résilié,4
CTR000024,CLI00011,auto,2023-02-13,666.0,résilié,0
CTR000025,CLI00012,sante,2024-05-31,1336.65,résilié,0
CTR000026,CLI00013,epargne,2013-08-16,1767.72,actif,1
CTR000027,CLI00014,auto,2012-11-20,742.85,actif,0
CTR000028,CLI00015,auto,2002-08-27,633.77,en_renouvellement,0
CTR000029,CLI00015,habitation,2009-04-20,325.88,en_renouvellement,3
CTR000030,CLI00016,prevoyance,2018-08-22,526.96,résilié,0
CTR000031,CLI00017,habitation,2006-11-19,307.66,résilié,0
CTR000032,CLI00017,auto,2011-05-29,732.16,résilié,3
CTR000033,CLI00017,epargne,2022-01-01,2119.9,résilié,2
CTR000034,CLI00018,auto,2024-06-04,629.33,suspendu,0
CTR000035,CLI00019,prevoyance,2015-05-18,362.33,actif,1
CTR000036,CLI00019,sante,2018-03-02,1171.11,actif,0
CTR000037,CLI00020,prevoyance,2021-09-06,373.31,actif,1
CTR000038,CLI00020,epargne,2017-11-29,2215.55,actif,0
CTR000039,CLI00020,habitation,2017-06-08,255.96,actif,0
CTR000040,CLI00021,auto,2019-09-16,596.79,actif,0
CTR000041,CLI00022,auto,2022-03-18,613.69,suspendu,4
CTR000042,CLI00022,prevoyance,2008-07-16,366.83,suspendu,0
CTR000043,CLI00022,habitation,2024-09-02,278.88,suspendu,1
CTR000044,CLI00022,epargne,2016-08-31,2207.98,suspendu,0
CTR000045,CLI00023,epargne,2019-04-28,1639.36,actif,2
CTR000046,CLI00023,prevoyance,2024-10-18,438.36,actif,1
CTR000047,CLI00023,habitation,2016-09-07,300.0,actif,2
CTR000048,CLI00023,auto,2017-07-01,574.54,actif,0
CTR000049,CLI00023,sante,2018-08-14,1396.06,actif,3
CTR000050,CLI00024,sante,2022-06-15,1374.62,en_renouvellement,0
CTR000051,CLI00025,epargne,2017-09-09,1929.9,suspendu,0
CTR000052,CLI00026,prevoyance,2024-04-20,535.7,résilié,0
CTR000053,CLI00026,auto,2024-12-14,607.33,résilié,0
CTR000054,CLI00027,auto,2016-08-23,572.45,actif,2
CTR000055,CLI00027,prevoyance,2024-11-04,417.26,actif,0
CTR000056,CLI00027,habitation,2016-01-06,306.43,actif,1
CTR000057,CLI00028,prevoyance,2005-07-24,476.74,actif,1
CTR000058,CLI00028,habitation,2023-10-23,253.05,actif,0
