client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel,nb_contrats_actifs,prime_totale_annuelle,produits,nb_sinistres_total,nb_interactions_total,satisfaction_moy,derniere_interaction,canaux_utilises,nb_sinistres_declares,montant_total_indemnise,dernier_sinistre,ltv_estimee
CLI00001,56,22,client_actif,4,web,BFC,2521.0,4,4660.14,"auto, epargne, prevoyance, sante",2,14,5.79,2024-11-23,"app_mobile, email, web",2,15953.39,2024-02-08,41941.0
CLI00002,69,9,prospect,3,app_mobile,PACA,1950.0,2,2975.4,"auto, epargne, prevoyance",5,6,6.67,2024-12-19,"agence, app_mobile, telephone, web",5,55189.4,2024-10-28,0.0
CLI00003,46,9,prospect,3,agence,BFC,2971.0,2,2473.69,"epargne, habitation, prevoyance",2,6,7.33,2024-12-02,"agence, app_mobile, telephone",2,94805.98,2023-10-05,47000.0
CLI00004,32,3,résilié,1,app_mobile,NAQ,3420.0,0,720.7,auto,0,2,5.0,2024-07-28,app_mobile,0,0.0,,23783.0
CLI00005,60,7,client_actif,1,web,NAQ,3499.0,1,273.07,habitation,0,9,6.11,2024-11-27,"app_mobile, email, web",0,0.0,,1365.0
CLI00006,25,21,client_inactif,1,web,NAQ,2975.0,1,690.03,auto,0,2,5.5,2024-10-02,"app_mobile, web",0,0.0,,27601.0
CLI00007,78,19,résilié,3,web,NAQ,4663.0,0,3461.63,"epargne, habitation, sante",1,2,6.5,2024-07-06,"email, web",1,37574.04,2021-05-30,0.0
CLI00008,38,19,client_actif,1,email,IDF,3942.0,1,1097.75,sante,2,18,5.78,2024-09-05,"agence, app_mobile, email, web",2,3926.33,2016-03-08,29639.0
CLI00009,56,17,client_actif,3,agence,ARA,1699.0,3,1378.49,"auto, habitation, prevoyance",1,11,7.18,2024-11-20,"agence, app_mobile, email, web",1,1086.41,2017-03-28,12406.0
CLI00010,75,13,client_actif,1,app_mobile,ARA,1479.0,1,520.96,auto,0,18,5.33,2024-11-18,"agence, app_mobile, email, telephone, web",0,0.0,,0.0
CLI00011,36,17,résilié,3,web,OCC,1783.0,0,2669.48,"auto, epargne, habitation",4,1,6.0,2024-07-10,email,4,116918.0,2021-11-24,77415.0
CLI00012,40,13,résilié,1,telephone,ARA,3852.0,0,1336.65,sante,0,1,6.0,2024-11-14,agence,0,0.0,,33416.0
CLI00013,28,19,client_actif,1,web,PACA,1262.0,1,1767.72,epargne,1,13,6.85,2024-10-14,"agence, app_mobile, email, web",1,11232.32,2014-06-08,65406.0
CLI00014,28,20,client_inactif,1,web,BFC,3212.0,1,742.85,auto,0,1,5.0,2023-02-10,app_mobile,0,0.0,,27485.0
CLI00015,41,23,prospect,2,app_mobile,NAQ,2647.0,0,959.65,"auto, habitation",3,4,6.75,2024-11-13,"app_mobile, telephone, web",3,17293.33,2020-04-18,23032.0
CLI00016,70,14,résilié,1,telephone,OCC,1680.0,0,526.96,prevoyance,0,1,7.0,2023-10-01,telephone,0,0.0,,0.0
CLI00017,53,21,résilié,3,web,NAQ,3024.0,0,3159.72,"auto, epargne, habitation",5,3,6.33,2024-01-27,"app_mobile, telephone",5,93048.21,2023-05-04,37917.0
CLI00018,57,3,client_actif,1,web,IDF,2641.0,0,629.33,auto,0,7,5.43,2024-10-18,"agence, telephone, web",0,0.0,,5035.0
CLI00019,41,12,client_actif,2,app_mobile,ARA,3526.0,2,1533.44,"prevoyance, sante",1,10,6.8,2024-12-26,"app_mobile, web",1,15181.36,2020-08-22,36803.0
CLI00020,20,22,prospect,3,web,IDF,1336.0,3,2844.82,"epargne, habitation, prevoyance",1,1,8.0,2023-11-08,web,1,9665.84,2024-01-08,128017.0
CLI00021,39,7,client_actif,1,app_mobile,OCC,1996.0,1,596.79,auto,0,14,5.43,2024-12-14,"agence, app_mobile, email, web",0,0.0,,15517.0
CLI00022,70,17,client_inactif,4,app_mobile,BFC,2014.0,0,3467.38,"auto, epargne, habitation, prevoyance",5,3,9.33,2024-11-14,"app_mobile, email",5,29006.93,2024-10-05,0.0
CLI00023,19,11,client_actif,5,app_mobile,PACA,3395.0,5,4348.32,"auto, epargne, habitation, prevoyance, sante",8,5,4.6,2024-10-14,app_mobile,8,119787.93,2024-12-13,200023.0
CLI00024,41,22,prospect,1,web,ARA,2586.0,0,1374.62,sante,0,7,5.71,2024-12-11,"telephone, web",0,0.0,,32991.0
CLI00025,61,13,client_actif,1,web,IDF,3863.0,0,1929.9,epargne,0,15,6.73,2024-11-15,"app_mobile, email, telephone, web",0,0.0,,7720.0
CLI00026,47,1,résilié,2,telephone,BFC,2441.0,0,1143.03,"auto, prevoyance",0,3,7.67,2024-09-28,"email, telephone",0,0.0,,20575.0
