interaction_id,client_id,date,canal,type_interaction,duree_minutes,satisfaction,resultat
INT0000001,CLI00001,2024-10-16,web,souscription,5,8,abandon
INT0000002,CLI00001,2023-09-08,web,visite_site,12,3,succès
INT0000003,CLI00001,2024-11-23,email,email_ouvert,12,4,succès
INT0000004,CLI00001,2024-08-27,web,visite_site,2,9,abandon
INT0000005,CLI00001,2023-04-06,web,visite_site,3,5,escalade
INT0000006,CLI00001,2024-07-28,web,espace_client,8,8,succès
INT0000007,CLI00001,2023-08-14,web,souscription,9,6,abandon
INT0000008,CLI00001,2023-01-07,app_mobile,paiement,3,8,succès
INT0000009,CLI00001,2023-12-15,web,devis_en_ligne,2,5,abandon
INT0000010,CLI00001,2023-12-11,web,espace_client,11,6,abandon
INT0000011,CLI00001,2023-04-10,web,souscription,6,4,succès
INT0000012,CLI00001,2024-09-10,web,visite_site,11,5,succès
INT0000013,CLI00001,2024-04-15,web,espace_client,7,9,succès
INT0000014,CLI00001,2023-03-22,web,souscription,10,1,abandon
INT0000015,CLI00002,2024-08-14,app_mobile,ouverture_app,7,5,escalade
INT0000016,CLI00002,2023-02-16,agence,rdv_conseiller,60,7,succès
INT0000017,CLI00002,2023-08-27,telephone,reclamation,18,7,succès
INT0000018,CLI00002,2024-04-09,agence,souscription,76,9,succès
INT0000019,CLI00002,2024-01-15,app_mobile,consultation_contrat,8,7,succès
INT0000020,CLI00002,2024-12-19,web,devis_en_ligne,3,5,abandon
INT0000021,CLI00003,2024-06-30,app_mobile,paiement,4,5,succès
INT0000022,CLI00003,2024-01-24,agence,souscription,42,9,en_attente
INT0000023,CLI00003,2024-12-02,agence,rdv_conseiller,59,6,succès
INT0000024,CLI00003,2023-08-23,agence,renouvellement,78,6,abandon
INT0000025,CLI00003,2023-10-02,agence,reclamation,57,9,succès
INT0000026,CLI00003,2023-08-06,telephone,resiliation,29,9,succès
INT0000027,CLI00004,2023-05-27,app_mobile,declaration_sinistre,1,7,abandon
INT0000028,CLI00004,2024-07-28,app_mobile,paiement,3,3,en_attente
INT0000029,CLI00005,2024-08-20,web,devis_en_ligne,12,10,succès
INT0000030,CLI00005,2023-05-22,web,visite_site,13,5,abandon
INT0000031,CLI00005,2023-02-18,app_mobile,declaration_sinistre,2,6,en_attente
INT0000032,CLI00005,2024-11-27,web,visite_site,7,5,abandon
INT0000033,CLI00005,2024-01-30,web,espace_client,3,6,succès
INT0000034,CLI00005,2024-06-25,web,visite_site,8,8,succès
INT0000035,CLI00005,2024-11-27,email,email_ignore,12,4,en_attente
INT0000036,CLI00005,2024-10-18,web,souscription,5,6,abandon
INT0000037,CLI00005,2024-03-21,web,visite_site,7,5,abandon
INT0000038,CLI00006,2023-09-27,app_mobile,ouverture_app,9,8,succès
INT0000039,CLI00006,2024-10-02,web,devis_en_ligne,5,3,escalade
INT0000040,CLI00007,2023-06-06,web,devis_en_ligne,12,4,abandon
INT0000041,CLI00007,2024-07-06,email,email_ouvert,6,9,succès
INT0000042,CLI00008,2024-09-05,email,email_ouvert,2,5,succès
INT0000043,CLI00008,2023-04-25,agence,souscription,31,4,succès
INT0000044,CLI00008,2023-03-01,email,email_ouvert,2,3,succès
INT0000045,CLI00008,2023-03-29,web,devis_en_ligne,10,5,escalade
INT0000046,CLI00008,2023-05-12,email,email_clique,2,2,en_attente
INT0000047,CLI00008,2023-09-29,email,reponse_email,14,6,succès
INT0000048,CLI00008,2023-08-05,app_mobile,consultation_contrat,2,4,succès
INT0000049,CLI00008,2024-02-13,agence,renouvellement,72,7,succès
INT0000050,CLI00008,2024-06-13,email,email_clique,6,6,succès
INT0000051,CLI00008,2023-08-19,email,email_ouvert,4,7,abandon
INT0000052,CLI00008,2024-08-25,email,email_clique,7,6,succès
INT0000053,CLI00008,2023-01-08,email,email_ouvert,12,9,abandon
INT0000054,CLI00008,2023-08-23,email,email_ouvert,8,6,succès
INT0000055,CLI00008,2023-12-05,email,email_clique,10,5,succès
INT0000056,CLI00008,2023-10-13,app_mobile,declaration_sinistre,8,5,escalade
INT0000057,CLI00008,2024-08-07,email,email_clique,4,10,abandon
INT0000058,CLI00008,2024-04-29,app_mobile,ouverture_app,11,6,en_attente
INT0000059,CLI00008,2023-04-10,agence,renouvellement,26,8,abandon
INT0000060,CLI00009,2024-02-25,agence,rdv_conseiller,38,7,abandon
INT0000061,CLI00009,2024-11-20,web,visite_site,1,7,succès
INT0000062,CLI00009,2024-02-17,web,devis_en_ligne,6,8,abandon
INT0000063,CLI00009,2023-07-16,agence,renouvellement,35,5,abandon
INT0000064,CLI00009,2023-05-24,agence,reclamation,74,7,succès
INT0000065,CLI00009,2024-04-18,agence,rdv_conseiller,77,8,abandon
INT0000066,CLI00009,2024-03-29,email,email_ouvert,2,6,succès
INT0000067,CLI00009,2023-02-21,email,email_ouvert,9,6,succès
INT0000068,CLI00009,2023-04-06,app_mobile,declaration_sinistre,1,8,succès
INT0000069,CLI00009,2024-02-21,agence,souscription,32,8,escalade
INT0000070,CLI00009,2024-02-15,app_mobile,paiement,4,9,succès
INT0000071,CLI00010,2023-01-03,agence,renouvellement,27,9,succès
INT0000072,CLI00010,2023-10-20,app_mobile,paiement,2,8,succès
INT0000073,CLI00010,2023-06-08,app_mobile,declaration_sinistre,14,6,succès
INT0000074,CLI00010,2023-03-01,app_mobile,ouverture_app,10,4,succès
INT0000075,CLI00010,2023-11-18,app_mobile,paiement,10,4,abandon
INT0000076,CLI00010,2024-05-29,email,email_clique,13,5,succès
INT0000077,CLI00010,2023-02-28,web,devis_en_ligne,11,9,succès
INT0000078,CLI00010,2023-03-12,app_mobile,declaration_sinistre,11,6,succès
INT0000079,CLI00010,2024-02-18,app_mobile,declaration_sinistre,1,6,en_attente
INT0000080,CLI00010,2024-08-15,app_mobile,ouverture_app,9,6,succès
INT0000081,CLI00010,2024-03-05,email,email_ignore,3,6,succès
INT0000082,CLI00010,2023-09-25,app_mobile,consultation_contrat,5,6,escalade
INT0000083,CLI00010,2023-09-02,app_mobile,declaration_sinistre,12,2,abandon
INT0000084,CLI00010,2024-11-18,telephone,reclamation,29,5,succès
INT0000085,CLI00010,2023-03-16,app_mobile,ouverture_app,5,3,escalade
INT0000086,CLI00010,2023-03-17,app_mobile,consultation_contrat,14,4,abandon
INT0000087,CLI00010,2023-05-16,web,devis_en_ligne,12,4,succès
INT0000088,CLI00010,2024-01-14,app_mobile,paiement,11,3,abandon
INT0000089,CLI00011,2024-07-10,email,email_ouvert,12,6,abandon
INT0000090,CLI00012,2024-11-14,agence,rdv_conseiller,82,6,succès
INT0000091,CLI00013,2023-05-18,web,visite_site,2,5,abandon
INT0000092,CLI00013,2024-07-20,web,souscription,13,7,en_attente
INT0000093,CLI00013,2024-09-11,web,souscription,13,8,succès
INT0000094,CLI00013,2023-07-28,agence,renouvellement,57,8,succès
INT0000095,CLI00013,2023-09-15,web,visite_site,10,6,succès
INT0000096,CLI00013,2024-10-11,web,souscription,4,9,succès
INT0000097,CLI00013,2023-02-15,web,devis_en_ligne,6,10,succès
INT0000098,CLI00013,2024-10-14,app_mobile,paiement,2,8,succès
INT0000099,CLI00013,2024-07-18,email,email_ouvert,14,5,succès
