client_id,canal_principal,score_intensite,niveau_engagement,statut,produits_actuels,opportunites,produit_recommande,canal_recommande
CLI00001,web,0.6327,Engagé,client_actif,"['auto', 'sante', 'epargne', 'prevoyance']",['habitation'],habitation,web
CLI00002,app_mobile,0.6119,Engagé,prospect,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI00003,agence,0.5773,Engagé,prospect,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00004,app_mobile,0.3203,Peu engagé,résilié,,,,
CLI00005,web,0.5784,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00006,web,0.4034,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00007,web,0.4093,Peu engagé,résilié,,,,
CLI00008,email,0.713,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00009,agence,0.6847,Engagé,client_actif,"['habitation', 'auto', 'prevoyance']","['sante', 'epargne']",sante,telephone
CLI00010,app_mobile,0.77,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00011,web,0.3323,Peu engagé,résilié,,,,
CLI00012,telephone,0.3671,Peu engagé,résilié,,,,
CLI00013,web,0.6905,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00014,web,0.161,Dormant,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00015,app_mobile,0.5285,Engagé,prospect,,,,
CLI00016,telephone,0.2848,Peu engagé,résilié,,,,
CLI00017,web,0.3732,Peu engagé,résilié,,,,
CLI00018,web,0.5208,Engagé,client_actif,,,,
CLI00019,app_mobile,0.57,Engagé,client_actif,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00020,web,0.3252,Peu engagé,prospect,"['prevoyance', 'epargne', 'habitation']","['auto', 'sante']",sante,telephone
CLI00021,app_mobile,0.6778,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00022,app_mobile,0.5432,Engagé,client_inactif,,,,
CLI00023,app_mobile,0.3688,Peu engagé,client_actif,"['epargne', 'prevoyance', 'habitation', 'auto', 'sante']",[],Portefeuille complet,email
CLI00024,web,0.4942,Peu engagé,prospect,,,,
CLI00025,web,0.722,Engagé,client_actif,,,,
CLI00026,telephone,0.4803,Peu engagé,résilié,,,,
CLI00027,telephone,0.7488,Engagé,client_actif,"['auto', 'prevoyance', 'habitation']","['sante', 'epargne']",sante,telephone
CLI00028,web,0.6147,Engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00029,web,0.7632,Très engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00030,web,0.3203,Peu engagé,résilié,,,,
CLI00031,agence,0.3766,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00032,agence,0.5842,Engagé,client_actif,"['habitation', 'auto', 'sante']","['prevoyance', 'epargne']",prevoyance,agence
CLI00033,app_mobile,0.5672,Engagé,prospect,"['prevoyance', 'habitation', 'auto']","['sante', 'epargne']",sante,telephone
CLI00034,agence,0.4342,Peu engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00035,agence,0.4894,Peu engagé,prospect,"['habitation', 'prevoyance', 'auto']","['sante', 'epargne']",sante,telephone
CLI00036,telephone,0.7898,Très engagé,client_actif,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI00037,web,0.3423,Peu engagé,résilié,,,,
CLI00038,web,0.562,Engagé,client_actif,"['auto', 'habitation']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00039,web,0.3478,Peu engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00040,telephone,0.7507,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00041,agence,0.4398,Peu engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00042,app_mobile,0.4307,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00043,web,0.7322,Engagé,client_actif,"['habitation', 'prevoyance', 'sante']","['auto', 'epargne']",epargne,agence
CLI00044,web,0.6761,Engagé,client_actif,"['sante', 'habitation']","['auto', 'prevoyance', 'epargne']",prevoyance,agence
CLI00045,web,0.8182,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00046,app_mobile,0.3235,Peu engagé,prospect,"['auto', 'epargne', 'prevoyance']","['habitation', 'sante']",sante,telephone
CLI00047,web,0.5088,Engagé,client_actif,"['prevoyance', 'sante', 'auto']","['habitation', 'epargne']",epargne,agence
CLI00048,web,0.4093,Peu engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00049,agence,0.3905,Peu engagé,résilié,,,,
CLI00050,web,0.8667,Très engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00051,app_mobile,0.4457,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00052,web,0.5869,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00053,telephone,0.545,Engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
