client_id,statut,age,region,canal_principal,nb_produits,prime_totale_annuelle,ltv_estimee,satisfaction_moy,nb_interactions_total,segment,segment_nom,score_churn,nba_produit,nba_proba
CLI00001,client_actif,56,BFC,web,4,4660.14,41941.0,5.79,14,1,Clients premium jeunes,0.0117,habitation,0.8851
CLI00002,prospect,69,PACA,app_mobile,3,2975.4,0.0,6.67,6,2,Clients premium matures,0.0058,auto,0.5047
CLI00003,prospect,46,BFC,agence,3,2473.69,47000.0,7.33,6,2,Clients premium matures,0.0258,habitation,0.7795
CLI00004,résilié,32,NAQ,app_mobile,1,720.7,23783.0,5.0,2,0,Clients basiques seniors,0.8904,auto,0.1787
CLI00005,client_actif,60,NAQ,web,1,273.07,1365.0,6.11,9,3,Clients basiques matures,0.0,auto,0.4356
CLI00006,client_inactif,25,NAQ,web,1,690.03,27601.0,5.5,2,3,Clients basiques matures,0.1332,prevoyance,0.4084
CLI00007,résilié,78,NAQ,web,3,3461.63,0.0,6.5,2,3,Clients basiques matures,0.7575,epargne,0.2017
CLI00008,client_actif,38,IDF,email,1,1097.75,29639.0,5.78,18,0,Clients basiques seniors,0.0143,auto,0.3389
CLI00009,client_actif,56,ARA,agence,3,1378.49,12406.0,7.18,11,0,Clients basiques seniors,0.0088,sante,0.859
CLI00010,client_actif,75,ARA,app_mobile,1,520.96,0.0,5.33,18,0,Clients basiques seniors,0.0185,habitation,0.5223
CLI00011,résilié,36,OCC,web,3,2669.48,77415.0,6.0,1,2,Clients premium matures,0.9322,prevoyance,0.1517
CLI00012,résilié,40,ARA,telephone,1,1336.65,33416.0,6.0,1,3,Clients basiques matures,0.8532,sante,0.1311
CLI00013,client_actif,28,PACA,web,1,1767.72,65406.0,6.85,13,3,Clients basiques matures,0.0088,sante,0.3187
CLI00014,client_inactif,28,BFC,web,1,742.85,27485.0,5.0,1,3,Clients basiques matures,0.1573,habitation,0.4131
CLI00015,prospect,41,NAQ,app_mobile,2,959.65,23032.0,6.75,4,0,Clients basiques seniors,0.1501,prevoyance,0.1655
CLI00016,résilié,70,OCC,telephone,1,526.96,0.0,7.0,1,3,Clients basiques matures,0.8556,auto,0.1072
CLI00017,résilié,53,NAQ,web,3,3159.72,37917.0,6.33,3,2,Clients premium matures,0.8939,epargne,0.0913
CLI00018,client_actif,57,IDF,web,1,629.33,5035.0,5.43,7,3,Clients basiques matures,0.1111,auto,0.1539
CLI00019,client_actif,41,ARA,app_mobile,2,1533.44,36803.0,6.8,10,0,Clients basiques seniors,0.0103,habitation,0.7212
CLI00020,prospect,20,IDF,web,3,2844.82,128017.0,8.0,1,1,Clients premium jeunes,0.0574,sante,0.8364
CLI00021,client_actif,39,OCC,app_mobile,1,596.79,15517.0,5.43,14,0,Clients basiques seniors,0.0072,habitation,0.4955
CLI00022,client_inactif,70,BFC,app_mobile,4,3467.38,0.0,9.33,3,2,Clients premium matures,0.6639,sante,0.1373
CLI00023,client_actif,19,PACA,app_mobile,5,4348.32,200023.0,4.6,5,2,Clients premium matures,0.02,Portefeuille complet,0.0
CLI00024,prospect,41,ARA,web,1,1374.62,32991.0,5.71,7,3,Clients basiques matures,0.1156,sante,0.1693
