client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel,tranche_age,score_intensite,niveau_engagement
CLI00001,56,22,client_actif,4,web,BFC,2521.0,45-60 ans,0.6327,Engagé
CLI00002,69,9,prospect,3,app_mobile,PACA,1950.0,60-80 ans,0.6119,Engagé
CLI00003,46,9,prospect,3,agence,BFC,2971.0,45-60 ans,0.5773,Engagé
CLI00004,32,3,résilié,1,app_mobile,NAQ,3420.0,30-45 ans,0.3203,Peu engagé
CLI00005,60,7,client_actif,1,web,IDF,3499.0,45-60 ans,0.5784,Engagé
CLI00006,25,21,client_inactif,1,web,NAQ,2975.0,18-30 ans,0.4034,Peu engagé
CLI00007,78,19,résilié,3,web,NAQ,4663.0,60-80 ans,0.4093,Peu engagé
CLI00008,38,19,client_actif,1,email,IDF,3942.0,30-45 ans,0.713,Engagé
CLI00009,56,17,client_actif,3,agence,ARA,1699.0,45-60 ans,0.6847,Engagé
CLI00010,75,13,client_actif,1,app_mobile,ARA,1479.0,60-80 ans,0.77,Très engagé
CLI00011,36,17,résilié,3,web,OCC,1783.0,30-45 ans,0.3323,Peu engagé
CLI00012,40,13,résilié,1,telephone,ARA,3852.0,30-45 ans,0.3671,Peu engagé
CLI00013,28,19,client_actif,1,web,PACA,1262.0,18-30 ans,0.6905,Engagé
CLI00014,28,20,client_inactif,1,web,BFC,3212.0,18-30 ans,0.161,Dormant
CLI00015,41,23,prospect,2,app_mobile,NAQ,2647.0,30-45 ans,0.5285,Engagé
CLI00016,70,14,résilié,1,telephone,OCC,1680.0,60-80 ans,0.2848,Peu engagé
CLI00017,53,21,résilié,3,web,NAQ,3024.0,45-60 ans,0.3732,Peu engagé
CLI00018,57,3,client_actif,1,web,IDF,2641.0,45-60 ans,0.5208,Engagé
CLI00019,41,12,client_actif,2,app_mobile,ARA,3526.0,30-45 ans,0.57,Engagé
CLI00020,20,22,prospect,3,web,IDF,1336.0,18-30 ans,0.3252,Peu engagé
CLI00021,39,7,client_actif,1,app_mobile,OCC,1996.0,30-45 ans,0.6778,Engagé
CLI00022,70,17,client_inactif,4,app_mobile,BFC,2014.0,60-80 ans,0.5432,Engagé
CLI00023,19,11,client_actif,5,app_mobile,PACA,3395.0,18-30 ans,0.3688,Peu engagé
CLI00024,41,22,prospect,1,web,ARA,2586.0,30-45 ans,0.4942,Peu engagé
CLI00025,61,13,client_actif,1,web,IDF,3863.0,60-80 ans,0.722,Engagé
CLI00026,47,1,résilié,2,telephone,BFC,2441.0,45-60 ans,0.4803,Peu engagé
CLI00027,55,17,client_actif,3,telephone,ARA,2999.0,45-60 ans,0.7488,Engagé
CLI00028,19,23,client_actif,2,web,NAQ,4136.0,18-30 ans,0.6147,Engagé
CLI00029,77,1,client_actif,2,web,PACA,1204.0,60-80 ans,0.7632,Très engagé
CLI00030,38,10,résilié,3,web,BFC,2826.0,30-45 ans,0.3203,Peu engagé
CLI00031,50,8,client_inactif,1,agence,ARA,2772.0,45-60 ans,0.3766,Peu engagé
CLI00032,29,11,client_actif,3,agence,PACA,2091.0,18-30 ans,0.5842,Engagé
